parish.LSMS,parish.GADM,matching,
ABAR WEST,Abar,yes,
ABERIDWOGO,Aberidwogo-Omera,yes,
ABIRA EAST,Abira,yes,
ACHUNGI,Acungi,yes,
ADELLOGO,Adelogo,yes,
ADOLLO,Padolo,not sure,
ADONYIMO,Adonyoimo,yes,
AGURURU,Agururu A Ward,yes,
AMIIABERIDWOGO,Amii,not sure,
ANEPKIDI,Anepkide,yes,
ANGWETANGWET,Angwecibange,yes,
ANYOMOREM,Anyomerem,yes,
APA,Appa,yes,
ARWOTOMITO,Arwot- Omito,yes,
ATIGOLWOK,Atigo-Lwok,yes,
ATYAK,Atiak,yes,
AWINDIRI WARD,Awindiri,yes,
AYA-YIA,Ayayia,yes,
BARAPWO,Bar Apwo,yes,
BARONGER GO DOWN,Bar Onger,yes,
BAZAAR WARD,Bazaar,yes,
BIJAABA PARISH,Bijaaba,yes,
BISON MAGURIA,Bison-Maguria Ward,yes,
BUGUMBA WARD,Bugumba,yes,
BUGUSEGE,Bugube,not sure,
BUJANGA,Bujaga,not sure,
BUKIBETI,Bukiabi,not sure,
BULIIGO WARD,Buligo,yes,
BULOWOOZA,Bulowoza,yes,
BUMUDU,Bummudu,yes,
BUMULISYA,Bumulisha,yes,
BUSOWA RURAL,Busowa,yes,
BUSUNJU TOWN BOARD,Busunju,yes,
BUSUNJU WARD,Busunju,yes,
BUWENGE SOUTHWARD,Buwenge South Ward,yes,
BUWENGE WEST,Buwenge West Ward,yes,
BUWENGE WESTWARD,Buwenge West Ward,yes,
BUWUNI RURAL,Buwuni,yes,
BUWUNI TB,Buwuni,yes,
CAMPSWAHILI,Kampswahili,yes,
CHEGERE,Cegere,yes,
DIMA,Diima,yes,
DOG APIO,Dogapio,yes,
GGULU,GGulu Ward,yes,
GWENGDIYA,Gwendiya,yes,
IDUDI TOWN BOARD,Idudi,yes,
IGGWE,Igwe,yes,
INDUSRIAL AREA,Industrial Area,yes,
INDUSTRIAL,Industrial Ward,yes,
IREDA WEST,Ireda-West,yes,
IRIAGA,Iriaga Ward,yes,
KAKOGE WARD,Kakoge,yes,
KAKWOKO,Kakwokwo,yes,
KALIRO,Kaliiro,yes,
KAMOR,Kamoru,not sure,
KAMYOKYA I,Kamwokya I,yes,
KANGONDO,Kangodo,yes,
KANYUM WARD,Kanyum,yes,
KASENSERO TOWN BOARD,Kasensero,yes,
KASENYI -CALTEX  WARD,Kasenyi-Caltex,yes,
KASHOZI EAST,Kashozi,yes,
KASHOZI WEST,Kashozi,yes,
KASIMERI,Kathimeri,yes,
KATANGA WARD,Katanga/Township,yes,
KAYUNGA-LUBONA,Kayunga,yes,
KIHUUBA,Kihuba,yes,
KIJJUMBA,Kijumba,yes,
KIJJUMBA,Kijumba,yes,
KIJUGUTA,Kijuguta Ward,yes,
KIJUMBA WEST,Kijumba,yes,
KIJUNA,Kijjuna,yes,
KIMAANYA,Kimanya,yes,
KIRAARO,Kiraro,yes,
KIRONGO  WARD,Kirongo,yes,
KIRYOKA,Kiryookya,yes,
KIRYOKYA,Kiryookya,yes,
KISEKENDE WARD,Kisekende,yes,
KISOJJO WARD,Kisojjo,yes,
KISUURA PARISH,Kisuura,yes,
KITOROGYA,Kitonya,not sure,
KOTIDO CENTRAL WARD,Kotido Central,yes,
KOTIDO EAST WARD,Kotido East,yes,
KOTIDO RURAL,Kotido Central,yes,
KYABAZALA,Kyabazaala,yes,
KYALIWAJJALA,Kyaliwajala,yes,
KYAMULIBWA TOWN  BOARD,Kyamulibwa,yes,
KYEBANDO I ,Kyebando,yes,
KYEGERA,Kyengera,yes,
KYENGERA TOWN BOARD,Kyengera,yes,
KYOGA,Kioga,yes,
KYONGERA,Kyogera,not sure,could also be Kyengera (see few rows above)
LABOURLINE WARD,Labour Line Ward,yes,
LOBUNEIT WARD,Lobuneit,yes,
LOMERUMA,Lomerima,not sure,
LOSILANG PARISH,Losilang,yes,
LTOJO,Itojo,yes,
LUBYA,Lubia,yes,
LWABAKOBA,Lwabakooba,yes,
MADI KILOC,Madi-Kiloc,yes,
MADI- KILOC,Madi-Kiloc,yes,
MAKERERE UNIVERSITY,Makerere Ii,yes,
MALENGA WARD,Malenga,yes,
MALUKHU WARD,Malukhu,yes,
MASESE WARD,Masese,yes,
MATEETE CENTRAL,Mateete,yes,
MATUGGA,Matuga,yes,
MBIRIIZI,Mbirizi,yes,
MITUKULA,Mitukula Ward,yes,
MITUKULA,Mitukula Ward,yes,
MPONDWE WARD ,Mpondwe,yes,
MUGARUSTYA,Mugarutsya,yes,
MUSUUBIRO,Musubiro,yes,
MUTUNGO I,Mutungo,yes,
NABIRUMBA I,Nabirumba,yes,
NAKAZZADDE WARD,Nakazadde,yes,
NAKULABYE I,Nakulabye,yes,
NALUWERERE WARD,Naluwerere,yes,
NAMAGABI,Namagabi Ward,yes,
NAMPAOGWE,Nampongwe,yes,
NAMTHIN WARD,Namthin,yes,
NAMTHINI,Namthin,yes,
NAMUSALE,Namusaale,yes,
NAMUTUMBA CENTRAL WARD,Namutumba,yes,
NANKULABYE I,Nakulabye,yes,
NANSANA EAST WARD,Nansana,yes,
NANSANA WEST WARD,Nansana,yes,
NANTABULIRIRWA,Nantabulirwa,yes,
NANTABULIRIRWA WARD,Nantabulirwa,yes,
NAWAPANDA,Nawampanda,yes,
NEW CAMP  SWAHILI JUU,New Campswahili,yes,
NICU PARISH,Nicu,yes,
NINDYE,Nnindye,yes,
NJERU WEST WARD,Njeru West,yes,
NKUNGULUNTALE,Nkungulutale,yes,
NORTH CENTRAL,North Central Ward,yes,
NSUUBE KAUGA,Nsuube-Kauga,yes,
NSUUBE KAUGA WARD,Nsuube-Kauga,yes,
NTAAWO,Ntaawo Ward,yes,
NTAWO WARD,Ntaawo Ward,yes,
NTAYIGIRWA,Ntaigirwa,yes,
NTENJERU,Ntenjeru Ward,yes,
NYAKARONGO PARISH,Nyakarongo,yes,
NYAKASANGA I WARD,Nyakasanga I,yes,
NYAKASANGA II WARD,Nyakasanga Ii,yes,
NYAMASA PARISH,Nyamasa,yes,
NYANTSIMBO WARD,Nyantsimbo,yes,
NYARUBUNGO II,Nyarubungo,yes,
NYARWIMUKA,Nyarwimuka/Kanyamisekuru,yes,
OCOKICAN,Ochokican,yes,
OKAPI,Ojapi,not sure,
OLD CAMP-SWAHILI,Old Campswahili,yes,
OMACH,Omac,yes,
OMOLADYANG,Omolo-Adyang,yes,
ORUPU,Orupo,yes,
OSUGURO WARD,Osuguro,yes,
PECE PRISON,Pece Prisons Ward,yes,
PUGWENYI,Pugwinyi,yes,
RAGEM LOWER,Ragem,yes,
RUHIRA,Ruhiira,yes,
RUTOMA,Rutooma,yes,
SOUTH CENTRAL WARD,South Central,yes,
SWAHILI CHIN,Old Campswahili,not sure,
TEGWANA,Tegwana Ward,yes,
TOROMA TB,Toroma,yes,
VANGUARD,Vanguard Ward,yes,
VILLAMARIA,Villa-Maria,yes,
WESTLAND B,Westland,yes,
