"country","n_waves","period","n_obs","prct_below_0.5","prct_below_1","q10","med","avg","q90"
"Benin",6,"2010-2020",313,9.58,40.26,0.51,1.22,1.69,3.43
"Burkina",6,"2010-2020",288,11.46,35.42,0.5,1.38,1.85,3.38
"Cote_d_Ivoire",6,"2010-2020",313,9.9,31.63,0.51,1.39,1.76,3.63
"Ethiopia",6,"2010-2020",313,11.5,37.38,0.44,1.4,1.88,3.68
"Ghana",6,"2010-2020",313,10.54,36.74,0.49,1.33,1.74,3.39
"Guinea_Bissau",6,"2010-2020",272,10.66,35.66,0.5,1.34,1.86,3.5
"Malawi",6,"2010-2020",313,9.58,34.5,0.52,1.39,1.91,3.58
"Mali",6,"2010-2020",46,10.87,26.09,0.51,1.35,2.03,4.52
"Niger",6,"2010-2020",38,10.53,34.21,0.5,1.14,1.42,2.86
"Nigeria",6,"2010-2020",313,8.63,35.46,0.53,1.41,2.12,4.43
"Rwanda",6,"2010-2020",313,12.14,34.5,0.45,1.47,1.97,4.39
"Senegal",6,"2010-2020",205,8.78,32.68,0.54,1.44,1.86,3.4
"Tanzania",6,"2010-2020",313,12.78,39.3,0.44,1.24,1.7,3.54
"Togo",6,"2010-2020",312,10.26,33.33,0.49,1.35,1.72,3.53
"Uganda",6,"2010-2020",313,12.14,39.62,0.46,1.17,1.78,4.03
"Zambia",6,"2010-2020",313,10.86,36.42,0.43,1.25,1.75,3.46
"TOTAL",96,"2010-2020",4291,10.67,35.89,0.49,1.32,1.83,3.71
