"filename","Rsquared","RMSE","MAE","mtry","min.node.size","splitrule","mbucket"
"rf-1-1.rds",0.421,1.269,0.827,4,6,"variance",1
"rf-2-1.rds",0.328,1.182,0.986,2,5,"extratrees",2
"rf-3-1.rds",0.579,1.496,0.611,3,4,"variance",3
"rf-4-1.rds",0.458,1.497,0.331,3,8,"extratrees",4
"rf-5-1.rds",0.323,0.884,0.748,5,5,"extratrees",5
"rf-6-1.rds",0.661,1.391,0.963,3,7,"variance",6
"rf-7-1.rds",0.566,0.581,0.849,4,8,"extratrees",7
"rf-8-1.rds",0.302,1.444,0.899,4,10,"variance",8
"rf-9-1.rds",0.356,0.826,0.371,4,3,"extratrees",9
"rf-10-1.rds",0.507,0.944,0.755,6,9,"variance",10
"rf-11-1.rds",0.375,0.768,0.806,5,3,"extratrees",11
"rf-12-1.rds",0.623,0.571,0.76,3,10,"extratrees",12
"rf-13-1.rds",0.63,0.781,0.967,2,10,"extratrees",13
"rf-14-1.rds",0.538,0.948,0.332,6,10,"extratrees",14
"rf-15-1.rds",0.506,1.452,0.901,3,5,"variance",15
"rf-16-1.rds",0.607,1.191,0.645,2,10,"extratrees",16
"rf-17-1.rds",0.586,1.057,0.886,3,7,"extratrees",17
"rf-18-1.rds",0.686,1.272,0.843,2,9,"variance",18
"rf-19-1.rds",0.676,0.73,0.332,6,3,"variance",19
"rf-20-1.rds",0.424,1.016,0.901,4,6,"variance",20
