"model","Benin","Burkina","Cote_d_Ivoire","Ethiopia","Ghana","Guinea_Bissau","Malawi","Mali","Niger","Nigeria","Rwanda","Senegal","Tanzania","Togo","Uganda","Zambia"
"tps_xy",0.22,0.53,0.21,0.52,0.39,0.57,0.65,0.27,0.46,0.32,0.37,0.51,0.56,0.4,0.31,0.45
"rf",0.34,0.65,0.67,0.67,0.31,0.5,0.51,0.37,0.51,0.54,0.45,0.5,0.27,0.28,0.39,0.51
"rf_xy",0.54,0.47,0.29,0.23,0.4,0.58,0.45,0.2,0.61,0.34,0.26,0.37,0.42,0.37,0.26,0.57
"rf_xyz",0.22,0.41,0.37,0.37,0.63,0.33,0.3,0.3,0.38,0.7,0.48,0.23,0.56,0.47,0.52,0.57
"gbm",0.46,0.25,0.27,0.48,0.69,0.33,0.36,0.57,0.26,0.43,0.45,0.28,0.22,0.42,0.6,0.32
"gbm_xy",0.69,0.27,0.26,0.56,0.66,0.28,0.34,0.31,0.59,0.22,0.33,0.41,0.52,0.7,0.26,0.55
"gbm_xyz",0.41,0.39,0.53,0.27,0.53,0.35,0.35,0.69,0.37,0.44,0.54,0.23,0.21,0.62,0.46,0.65
"svm",0.23,0.4,0.59,0.4,0.64,0.35,0.42,0.66,0.21,0.31,0.66,0.63,0.48,0.61,0.64,0.53
"svm_xy",0.6,0.59,0.39,0.39,0.4,0.28,0.56,0.48,0.31,0.58,0.35,0.58,0.5,0.64,0.61,0.58
"svm_xyz",0.53,0.57,0.53,0.45,0.37,0.61,0.28,0.68,0.66,0.44,0.52,0.28,0.34,0.52,0.57,0.34
