"","farm_area_ha","cropland","cattle","pop","cropland_per_capita","sand","slope","temperature","rainfall","maizeyield","market"
"farm_area_ha",1,-0.029,-0.004,0.011,-0.01,0,0,-0.032,0.014,0.019,0.017
"cropland",-0.029,1,-0.005,-0.046,0.059,0.028,0.021,0.007,0.036,0.005,-0.047
"cattle",-0.004,-0.005,1,0.039,0.002,0,0.037,0.035,0.026,0.018,-0.023
"pop",0.011,-0.046,0.039,1,-0.087,0.044,0.042,0.019,-0.024,-0.014,-0.027
"cropland_per_capita",-0.01,0.059,0.002,-0.087,1,-0.004,0.063,-0.012,0.008,-0.02,-0.066
"sand",0,0.028,0,0.044,-0.004,1,-0.006,0.009,0.037,0.02,0.039
"slope",0,0.021,0.037,0.042,0.063,-0.006,1,0.012,0.057,0.005,0.004
"temperature",-0.032,0.007,0.035,0.019,-0.012,0.009,0.012,1,-0.04,0.053,-0.02
"rainfall",0.014,0.036,0.026,-0.024,0.008,0.037,0.057,-0.04,1,0.057,-0.013
"maizeyield",0.019,0.005,0.018,-0.014,-0.02,0.02,0.005,0.053,0.057,1,0.048
"market",0.017,-0.047,-0.023,-0.027,-0.066,0.039,0.004,-0.02,-0.013,0.048,1
