"country","n","mean_ha","median_ha","sd_ha","p10","p25","p75","p90","pct_below_0.5","pct_below_1"
"Benin",245,1.465,1.21,0.952,0.492,0.76,1.916,2.892,10.2,41.2
"Burkina",242,1.538,1.304,1.034,0.49,0.72,2.098,2.95,12.8,38.4
"Cote_d_Ivoire",241,1.639,1.319,1.057,0.494,0.835,2.214,3.309,10.4,32.4
"Ethiopia",282,1.6,1.339,1.088,0.423,0.759,2.147,3.308,12.4,38.3
"Ghana",271,1.481,1.252,0.958,0.456,0.724,2.079,2.852,11.8,39.9
"Guinea_Bissau",192,1.552,1.265,1.007,0.495,0.806,2.013,3.292,10.4,35.9
"Malawi",236,1.624,1.299,1.106,0.498,0.806,2.291,3.258,10.6,36.4
"Mali",32,1.644,1.339,1.121,0.5,0.762,2.313,2.871,12.5,28.1
"Niger",32,1.317,1.141,0.796,0.533,0.74,1.618,2.77,9.4,34.4
"Nigeria",266,1.623,1.261,1.122,0.537,0.822,2.105,3.214,7.9,37.6
"Rwanda",220,1.661,1.322,1.231,0.452,0.714,2.234,3.666,12.3,39.5
"Senegal",145,1.565,1.341,0.923,0.534,0.864,2.092,3.09,9,33.8
"Tanzania",233,1.412,1.141,0.949,0.425,0.668,1.913,2.746,14.2,43.8
"Togo",261,1.559,1.281,0.997,0.501,0.761,2.091,2.984,10,34.1
"Uganda",248,1.535,1.131,1.149,0.451,0.69,2.073,3.339,13.3,41.5
"Zambia",217,1.499,1.204,1.036,0.424,0.774,1.938,3.007,12,37.8
