"country","estim_nb_farms","census_year","nb_farms"
"Benin",8.42251206934452,NA,3e+06
"Burkina Faso",23.7443313002586,NA,2500000
"Cameroon",34.0751608386636,NA,2800000
"Côte d'Ivoire",26.4589970260859,2014,2e+06
"Ethiopia",101.586753234267,NA,1.3e+07
"Ghana",20.5016961991787,NA,2300000
"Guinea-Bissau",3.31351798772812,2015,2e+05
"Kenya",47.5442827641964,NA,6e+06
"Madagascar",33.8190863355994,NA,3e+06
"Malawi",7.23598894476891,NA,1800000
"Mali",31.4439367353916,NA,2100000
"Mozambique",47.4357025176287,NA,3500000
"Niger",26.9537846446037,2012,2400000
"Nigeria",81.1363491117954,2015,1.4e+07
"Rwanda",1.38352403044701,2015,2e+06
"Senegal",9.79054868221283,NA,7e+05
"Sudan",77.1624186038971,NA,5500000
"Tanzania",62.9949011206627,NA,5e+06
"Togo",5.28147101402283,NA,8e+05
"Uganda",22.0659601390362,NA,3800000
"Zambia",44.8271729201078,2020,1300000
"Zimbabwe",19.3405811041594,2012,1200000
