"country","n_waves","n_obs","min_year","max_year","mean_ha","median_ha","q10","q90","pct_below_1ha"
"Ethiopia",6,313,2010,2020,1.89,1.41,0.45,3.73,36.7
"Malawi",6,313,2010,2020,1.91,1.37,0.52,3.61,34.5
"Nigeria",6,313,2010,2020,2.12,1.41,0.53,4.38,35.1
"Tanzania",6,313,2010,2020,1.69,1.24,0.44,3.54,38.3
"Uganda",6,313,2010,2020,1.79,1.18,0.46,4.03,39.9
"Zambia",6,313,2010,2020,1.76,1.25,0.44,3.44,37.4
"Ghana",6,313,2010,2020,1.74,1.33,0.49,3.39,36.1
"Niger",6,38,2010,2020,1.41,1.14,0.5,2.84,31.6
"Mali",6,46,2010,2020,2.03,1.35,0.54,4.62,30.4
"Burkina",6,288,2010,2020,1.86,1.35,0.5,3.41,35.8
"Senegal",6,205,2010,2020,1.84,1.44,0.53,3.38,32.7
"Benin",6,313,2010,2020,1.69,1.23,0.49,3.52,39.9
"Togo",6,312,2010,2020,1.72,1.35,0.5,3.46,33.3
"Rwanda",6,313,2010,2020,1.96,1.47,0.47,4.39,34.8
"Cote_d_Ivoire",6,313,2010,2020,1.77,1.39,0.51,3.76,32.3
"Guinea_Bissau",6,272,2010,2020,1.87,1.33,0.5,3.5,36
"TOTAL",96,4291,2010,2020,1.83,1.33,0.49,3.71,35.9
