"","country","rf_cv_rsq","rf_oob_rsq","gam_cv_rsq","gam_oob_rsq","knn_cv_rsq","knn_oob_rsq"
"1","Benin","0.39","0.45","0.35","0.37","0.39","0.44"
"2","Burkina","0.32","0.42","0.18","0.21","0.33","0.41"
"3","Cote_d_Ivoire","0.4","0.46","0.33","0.34","0.39","0.46"
"4","Ethiopia","0.32","0.39","0.17","0.19","0.32","0.38"
"5","Guinea_Bissau","0.13","0.18","0.12","0.17","0.13","0.18"
"6","Malawi","0.2","0.25","0.18","0.18","0.2","0.25"
"7","Mali","0.36","0.45","0.25","0.26","0.35","0.44"
"8","Niger","0.15","0.22","0.1","0.12","0.15","0.22"
"9","Nigeria","0.33","0.4","0.21","0.23","0.33","0.39"
"10","Senegal","0.3","0.37","0.24","0.27","0.3","0.37"
"11","Tanzania","0.22","0.33","0.16","0.17","0.22","0.29"
"12","Togo","0.22","0.27","0.17","0.19","0.21","0.27"
"13","Uganda","0.15","0.25","0.11","0.12","0.14","0.21"
"14","Zambia","0.23","0.31","0.15","0.16","0.23","0.29"
