country,n_waves,period,n_obs,prct_below_0.5,prct_below_1,q10,med,avg,q90
Benin,2,2018-2021,7425,25.05,40.23,0.14,1.28,2.76,6.19
Burkina,3,2014-2021,5617,6.52,18.78,0.61,2.27,3.32,6.89
Cote_d_Ivoire,2,2018-2021,13892,8.95,17.69,0.5,2.9,4.73,10.97
Ethiopia,5,2011-2021,12772,44.61,68.04,0.07,0.59,1.03,2.21
Guinea_Bissau,2,2018-2021,5744,42.65,44.31,0.03,1,3.12,7.65
Malawi,4,2010-2019,23133,51.7,82.82,0.15,0.49,0.65,1.3
Mali,4,2014-2021,14340,8.75,16.73,0.5,3.7,6.19,14.18
Niger,3,2014-2021,7665,7.38,19.22,0.58,2.28,3.42,7.13
Nigeria,4,2010-2018,11067,26.24,43.07,0.17,1.25,2.73,6.31
Senegal,2,2018-2021,5241,14.69,24.9,0.19,2,3.14,7
Tanzania,6,2008-2020,11974,26.27,46.96,0.21,1.1,2.17,4.67
Togo,2,2018-2021,7213,21.45,40.87,0.24,1.24,2.51,4.87
Uganda,8,2005-2019,14922,29.34,55.41,0.2,0.83,1.43,2.83
Zambia,3,2012-2019,24014,13.98,31.7,0.31,1.47,2.06,4.5
all,50,NA,165019,25.15,43.2,0.2,1.19,2.59,6
